,0,1
0,3.9859228174276367,-5.145498477245709
1,3.5180150745267946,-4.999103648254871
2,4.496324135439192,-4.259987928982912
3,3.8250806672089257,-3.352106230858804
4,3.33624496004694,-3.6206982302253827
5,2.670046584475581,-4.503934458495124
6,2.2119825261788177,-4.287938137066233
7,1.237692730800989,-4.654933342320463
8,0.7760788671636294,-4.409358826598405
9,1.191807016663602,-4.903588398163455
10,-4.0817576911285895,-3.3489364085121824
11,-4.893237503772869,-2.5190858362787325
12,-3.91014912557797,-2.094216786363259
13,-4.608804885154278,-1.1783448099622604
14,-4.76906861936048,-1.761445155423416
15,-5.083130699253321,-2.426668236213881
16,-5.937179824989683,-2.9104970882816694
17,-6.717227411324716,-2.724613013360873
18,-6.522896734624955,-3.0131564737322365
19,-6.842349512024389,-3.8159969902922044
20,-10.75477096670928,-2.390154420236001
21,-9.885336758139598,-1.4533634555518282
22,-10.343541566720148,-2.373989019684118
23,-10.62392983607887,-1.7978757805496246
24,-11.608172260105375,-1.9132070231533493
25,-11.751073028398661,-2.180142007413725
26,-11.676079848451728,-1.8961980155126361
27,-12.4695228206435,-2.4167631019699902
28,-12.099131041053955,-2.159033913585104
29,-12.979212367838633,-1.3373896647996895
30,-9.485536557387128,0.6387870849074523
31,-9.777948143719577,-0.2200683852706874
32,-9.29950484384274,-0.23747787975755685
33,-10.171067573611458,-0.8567886717699889
34,-9.303509122426572,-0.9356559503586511
35,-9.061795857085935,-0.80701039880963
36,-8.295839172665307,-1.2762258572100953
37,-8.619521778932548,-1.148131658040562
38,-8.02868580004931,-0.24325416325836646
39,-8.51488286492573,0.5395822097556379
40,-13.656621038330066,-3.8792499214393303
41,-12.67089341300305,-4.123648907945228
42,-12.623258267191105,-3.7700763764453438
43,-12.422212417991474,-3.132241610878241
44,-13.304745119936419,-3.071010376555231
45,-13.43800740812585,-2.120670524150941
46,-13.64732031317752,-2.2467048739482944
47,-14.373914762834488,-2.1878989067499717
48,-14.215134075122142,-2.9910960137427476
49,-13.291248190494144,-2.728083285755767
50,-16.735327266008596,2.0427429088532127
51,-16.5191395112034,2.5971803968610363
52,-15.898798999852671,3.466929239351978
53,-16.04278664627707,3.009190861013299
54,-15.512212104573141,2.449283794064252
55,-15.990111873281304,2.75909982324412
56,-15.153248485767737,3.491931296635031
57,-15.927434031005061,3.153152990510425
58,-16.80398592621168,2.7032535332596117
59,-17.785734227434194,2.6111869395527387
