,a,b
0,8.490252857111042,-33.817167632445006
1,49.46840555306001,-29.42885476084871
2,38.420557718622966,-3.6403706217357374
3,17.36826152809103,-32.45586601324936
4,55.584367975511825,-39.137359812915705
5,58.64197617925349,-11.76169355170353
6,95.16205856225251,-36.78587157948361
7,106.55659358258373,5.4075182611826875
8,85.86100340897578,9.821360323603015
9,108.66372770682504,-12.940899645446176
10,141.26577642903388,-1.3037295173749879
11,178.12035235431068,30.428822796405566
12,142.14954607489486,38.1042180189053
13,114.76234702691202,7.5722996548122055
14,157.6654944629813,11.502527065953403
15,153.08345293336805,44.34468647427056
16,195.5671498626657,70.35313460276527
17,157.12853897860037,108.95748431538277
18,137.6917041884252,131.97099273465173
19,164.43970982082942,158.58419723056096
20,190.8863816144471,147.04016491210322
21,161.70589045181913,151.46107668193923
22,167.39254270313032,165.59684268031802
23,143.49025187727096,125.67054581519281
24,114.44388955833318,111.2824489622256
25,119.19128640689233,138.60079150571744
26,118.08073103041029,164.1038495792193
27,78.9601948821794,172.77489594211477
28,67.21969307802013,141.86068030611557
29,24.97952703711225,140.46560724339753
30,57.17624771062235,175.54872338810065
31,30.861854768052048,149.6593049639501
32,51.94647252483584,106.1326296260644
33,55.09031689998633,84.36549757181449
34,16.973755409679896,94.17818199030961
35,59.34169105758828,81.46353429114785
36,73.58515203265634,45.580603035631064
37,54.229820778739594,81.05542629450898
38,33.370560002788125,67.71557005476764
39,69.2254672703746,35.95086040977874
40,52.59561748277774,-0.5270554958725242
41,21.616556188892357,0.9303281586579636
42,6.7461673378630245,32.88652357222814
43,-31.482108250910848,-7.43176142235005
44,-20.91258370564726,3.1270496694244745
45,7.980819326866591,31.214327165851564
46,43.00231702842084,70.61929511421515
47,11.3063255895839,72.15831132650102
48,-13.431721611860937,95.39888092440853
49,-7.459525822690912,52.53440528659322
50,-29.135501793076397,30.756304906644534
51,-41.690723993459635,19.087003668256685
52,-54.66719260284153,-9.772733958591097
53,-20.919306205593458,33.161925746814376
54,-22.098831493955753,49.078813875546615
55,-29.347227545545252,51.67033847745827
56,9.925260610070016,65.97172704310022
57,16.63293578433112,32.66865988334257
58,28.312614370357004,62.14003995698865
59,-3.1880367740052407,85.05221618872511
60,-21.089868244382,105.36912198026143
61,-38.11466506822873,96.13938134158136
62,-25.147335472793056,57.22385679223966
63,-47.573864648310305,20.37628781512823
64,-14.837383998373163,-10.053304537822239
65,-20.138295909907328,10.71134791214581
66,-46.02482534427021,-11.732335927471398
67,-49.92537669678014,11.955349526960672
68,-72.67874037441942,13.971735618397187
69,-91.83500858829709,54.78266817947364
70,-49.607860818993636,44.35914349284633
71,-46.01346398147881,38.157620462515695
72,-72.5336307168072,14.643126874312241
73,-67.92083549354,26.46418599030119
